Term,Definition
Work Order,A document that provides details about maintenance or repair work.
Preventive Maintenance,Maintenance carried out at regular intervals to prevent breakdowns.
Asset,"An item of value owned by the organization, such as equipment or machinery."
EAM,Enterprise Asset Management â€“ a system to manage physical assets.
CM,Corrective Maintenance performed after a fault is detected.
PM,Planned Maintenance performed on a schedule to avoid breakdowns.
Downtime,The period when a machine is not operational.
Backlog,Work that is scheduled but not yet completed.
Failure Mode,A specific way in which an asset can fail.
Root Cause Analysis,The process of identifying the underlying cause of a failure.
